title_0,tneigh_0,comp_0,cneigh_0,title_1,tneigh_1,comp_1,cneigh_1,title_2,tneigh_2,comp_2,cneigh_2,title_3,tneigh_3,comp_3,cneigh_3,title_4,tneigh_4,comp_4,cneigh_4,title_5,tneigh_5,comp_5,cneigh_5
p_patient_access_management,False,c_monmouth_medical_center,"[('c_meridian_health', '0.870'), ('c_robert_wood_johnson_university_hospital', '0.855'), ('c_jersey_shore_university_medical_center', '0.847'), ('c_centrastate_healthcare_system', '0.836'), ('c_saint_barnabas_medical_center', '0.827'), ('c_barnabas_health', '0.826'), ('c_somerset_medical_center', '0.824'), ('c_newark_beth_israel_medical_center', '0.822'), ('c_st_peters_university_hospital', '0.816'), ('c_raritan_bay_medical_center', '0.815')]",p_lead_science_educator_for_school_residency_programs,False,c_liberty_science_center,"[('c_montclair_state_university', '0.741'), ('c_new_jersey_city_university', '0.724'), ('c_the_newark_museum', '0.716'), ('c_middlesex_county_college', '0.715'), ('c_new_jersey_historical_society', '0.702'), ('c_kean_university', '0.702'), ('c_raritan_valley_community_college', '0.698'), ('c_caldwell_college', '0.693'), ('c_seton_hall_university', '0.691'), ('c_brookdale_community_college', '0.690')]",p_associate_director_electronic_programs,False,c_liberty_science_center,"[('c_montclair_state_university', '0.741'), ('c_new_jersey_city_university', '0.724'), ('c_the_newark_museum', '0.716'), ('c_middlesex_county_college', '0.715'), ('c_new_jersey_historical_society', '0.702'), ('c_kean_university', '0.702'), ('c_raritan_valley_community_college', '0.698'), ('c_caldwell_college', '0.693'), ('c_seton_hall_university', '0.691'), ('c_brookdale_community_college', '0.690')]",p_liturgical_dance_instructor,False,c_inspira_performing_arts_cultural_center,False,p_dental_student,"[('p_chief_resident', '0.657'), ('p_orthodontic_resident', '0.652'), ('p_pediatric_dentist', '0.647'), ('p_resident_physician', '0.637'), ('p_general_dentist', '0.632'), ('p_periodontist', '0.619'), ('p_medical_student', '0.605'), ('p_associate_clinical_professor', '0.597'), ('p_endodontic_resident', '0.590'), ('p_prosthodontist', '0.586')]",c_howard_university_college_of_dentistry,"[('c_howard_university_hospital', '0.623'), ('c_howard_university_college_of_medicine', '0.592'), ('c_howard_university', '0.588'), ('c_dc_department_of_health', '0.546'), ('c_howard_university_middle_school_of_mathematics_and_science', '0.538'), ('c_university_of_maryland_school_of_dentistry', '0.538'), ('c_washington_dc_va_medical_center', '0.537'), ('c_national_medical_association', '0.536'), ('c_maryland_primary_care_physicians', '0.534'), ('c_the_retina_group_of_washington', '0.534')]",p_dance_instructor,"[('p_choreographer', '0.711'), ('p_dance_teacher', '0.706'), ('p_dancer', '0.642'), ('p_artistic_director', '0.631'), ('p_ballet_instructor', '0.623'), ('p_ballroom_dance_instructor', '0.611'), ('p_performer', '0.600'), ('p_actor', '0.600'), ('p_stage_manager', '0.594'), ('p_professional_dancer', '0.586')]",c_work_of_art_dance_studio,False
p_resident_internal_medicine,"[('p_anesthesioloog', '0.672'), ('p_aios_huisartsgeneeskunde', '0.671'), ('p_huisarts_in_opleiding', '0.670'), ('p_neuroloog', '0.659'), ('p_radioloog', '0.655'), ('p_surgical_resident', '0.652'), ('p_clinical_chemist', '0.650'), ('p_pediatric_nephrologist', '0.647'), ('p_chirurg', '0.645'), ('p_ent_surgeon', '0.639')]",c_hospital_of_the_university_of_pennsylvania,"[('c_university_of_pennsylvania_health_system', '0.939'), ('c_the_childrens_hospital_of_philadelphia', '0.930'), ('c_penn_medicine', '0.909'), ('c_thomas_jefferson_university_hospitals', '0.909'), ('c_thomas_jefferson_university_hospital', '0.902'), ('c_pennsylvania_hospital', '0.901'), ('c_hahnemann_university_hospital', '0.892'), ('c_temple_university_hospital', '0.891'), ('c_fox_chase_cancer_center', '0.887'), ('c_st_christophers_hospital_for_children', '0.881')]",p_assistant_director,False,c_wakefield_cottage_llc,False,p_medical_editor_writer,False,c_freelance,"[('c_selfemployed', '0.734'), ('c_self_employed', '0.706'), ('c_independent', '0.617'), ('c_various', '0.608'), ('c_freelance_film_director', '0.553'), ('c_freelance_producer', '0.549'), ('c_axis_films', '0.536'), ('c_films', '0.533'), ('c_vice_media', '0.532'), ('c_film', '0.530')]",p_consultant,"[('p_management_consultant', '0.745'), ('p_sr_consultant', '0.717'), ('p_business_consultant', '0.667'), ('p_managing_consultant', '0.658'), ('p_principal_consultant', '0.621'), ('p_associate_partner', '0.617'), ('p_consulting', '0.605'), ('p_ceo', '0.598'), ('p_project_manager', '0.597'), ('p_consulting_manager', '0.586')]",c_wakefield_cottage_llc,False,p_scientific_communications_manager,False,c_alphabiocom,"[('c_scientific_connexions', '0.725'), ('c_synergy_medical_education', '0.659'), ('c_medical_education_systems', '0.655'), ('c_nucleonics', '0.647'), ('c_biocentric', '0.646'), ('c_advanced_clinical_communications', '0.645'), ('c_absorption_systems_lp', '0.641'), ('c_ethos_health_communications', '0.641'), ('c_complete_healthcare_communications', '0.641'), ('c_meniscus_limited', '0.637')]",p_associate_director_clinical_and_medical_affairs,False,c_alphabiocom,"[('c_scientific_connexions', '0.725'), ('c_synergy_medical_education', '0.659'), ('c_medical_education_systems', '0.655'), ('c_nucleonics', '0.647'), ('c_biocentric', '0.646'), ('c_advanced_clinical_communications', '0.645'), ('c_absorption_systems_lp', '0.641'), ('c_ethos_health_communications', '0.641'), ('c_complete_healthcare_communications', '0.641'), ('c_meniscus_limited', '0.637')]"
p_hospital_pharmacist,"[('p_general_practitioner', '0.612'), ('p_ent_surgeon', '0.563'), ('p_sr_pharmacist', '0.562'), ('p_ent_specialist', '0.556'), ('p_medical_doctor', '0.547'), ('p_pharmacist', '0.545'), ('p_chief_pharmacist', '0.545'), ('p_trainee_pharmacist', '0.536'), ('p_gynaecologist', '0.533'), ('p_consultant_anesthesiologist', '0.525')]",c_mayo_clinic,"[('c_mayo_clinic_rochester', '0.715'), ('c_park_nicollet_health_services', '0.698'), ('c_olmsted_medical_center', '0.693'), ('c_fairview_health_services', '0.693'), ('c_hennepin_county_medical_center', '0.691'), ('c_abbott_northwestern_hospital', '0.673'), ('c_university_of_minnesota_medical_center_fairview', '0.673'), ('c_mayo_clinic_health_system', '0.669'), ('c_childrens_hospitals_and_clinics_of_minnesota', '0.668'), ('c_allina_hospitals_amp_clinics', '0.665')]",p_pharmacovigilance_specialist,"[('p_head_of_clinical_operations', '0.633'), ('p_pharmacovigilance_manager', '0.613'), ('p_country_study_manager', '0.607'), ('p_medical_information_associate', '0.601'), ('p_product_specialist_oncology', '0.600'), ('p_drug_safety_specialist', '0.600'), ('p_visiteuse_mdicale', '0.599'), ('p_head_of_medical_affairs', '0.596'), ('p_executive_medical_representative', '0.595'), ('p_market_access', '0.586')]",c_azur_pharma_inc,False,p_senior_scientist_drug_safety_clinical_risk_management,False,c_merck,"[('c_bristolmyers_squibb', '0.891'), ('c_merck_amp_co', '0.848'), ('c_pfizer', '0.821'), ('c_scheringplough_research_institute', '0.820'), ('c_wyeth', '0.818'), ('c_schering_plough', '0.816'), ('c_wyeth_pharmaceuticals', '0.816'), ('c_scheringplough', '0.812'), ('c_bristolmyers_squibb_princeton_new_jersey', '0.802'), ('c_janssen_pharmaceutical_companies_of_johnson_and_johnson', '0.800')]",p_associate_director_business_tech_analysis_global_safety,False,c_merck,"[('c_bristolmyers_squibb', '0.891'), ('c_merck_amp_co', '0.848'), ('c_pfizer', '0.821'), ('c_scheringplough_research_institute', '0.820'), ('c_wyeth', '0.818'), ('c_schering_plough', '0.816'), ('c_wyeth_pharmaceuticals', '0.816'), ('c_scheringplough', '0.812'), ('c_bristolmyers_squibb_princeton_new_jersey', '0.802'), ('c_janssen_pharmaceutical_companies_of_johnson_and_johnson', '0.800')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]"
p_institute_scholar,False,c_duke_university_summer_biomedical_institute_mmep,False,p_student_administrative_assistant,False,c_temple_university_law_school,False,p_summer_researcher,False,c_allied_minority_participation_temple_university,False,p_administrative_assistant,False,c_drs_blake_sloan,False,p_co_founder_and_co_organizer,False,c_people_before_profit_community_health_care_project,False,p_chapter_president,"[('p_communications_intern', '0.543'), ('p_student_supervisor', '0.515'), ('p_social_media_intern', '0.513'), ('p_campus_representative', '0.510'), ('p_camp_counselor', '0.509'), ('p_human_resources_intern', '0.487'), ('p_chapter_advisor', '0.483'), ('p_front_desk_asst', '0.476'), ('p_office_asst', '0.476'), ('p_development_associate', '0.475')]",c_american_medical_student_association_howard_university_college_of_medicine_hucm_amsa,False
p_research_assistant_i,False,c_wuxi_apptec,"[('c_wuxiapptec', '0.708'), ('c_apptec', '0.707'), ('c_frontage_laboratories', '0.678'), ('c_shanghai_chempartner', '0.653'), ('c_neose_technologies', '0.646'), ('c_pharmaron', '0.635'), ('c_pharmaron_beijing', '0.627'), ('c_vitae_pharmaceuticals', '0.625'), ('c_avid_radiopharmaceuticals', '0.621'), ('c_morphotek', '0.614')]",p_biotechnician_ii,False,c_merck,"[('c_bristolmyers_squibb', '0.891'), ('c_merck_amp_co', '0.848'), ('c_pfizer', '0.821'), ('c_scheringplough_research_institute', '0.820'), ('c_wyeth', '0.818'), ('c_schering_plough', '0.816'), ('c_wyeth_pharmaceuticals', '0.816'), ('c_scheringplough', '0.812'), ('c_bristolmyers_squibb_princeton_new_jersey', '0.802'), ('c_janssen_pharmaceutical_companies_of_johnson_and_johnson', '0.800')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]"
p_pharmacy_technician,"[('p_certified_pharmacy_technician', '0.869'), ('p_pharmacy_intern', '0.808'), ('p_pharmacy_tech', '0.779'), ('p_staff_pharmacist', '0.752'), ('p_cpht', '0.739'), ('p_pharmacist', '0.727'), ('p_pharmacy_manager', '0.713'), ('p_pharmacy_supervisor', '0.666'), ('p_pharmacy_technican', '0.653'), ('p_pharmacy', '0.650')]",c_cvs_pharmacy,"[('c_cvs_caremark_corporation', '0.876'), ('c_cvspharmacy', '0.859'), ('c_rite_aid_pharmacy', '0.859'), ('c_rite_aid', '0.841'), ('c_cvs', '0.817'), ('c_walgreens_pharmacy', '0.783'), ('c_walmart_pharmacy', '0.754'), ('c_walgreens', '0.745'), ('c_brooks_eckerd_pharmacy', '0.703'), ('c_target_pharmacy', '0.701')]",p_regulatory_affairs_associate,"[('p_sr_regulatory_affairs_associate', '0.710'), ('p_regulatory_affairs', '0.640'), ('p_regulatory_affairs_manager', '0.634'), ('p_regulatory_affairs_specialist', '0.631'), ('p_quality_assurance_associate', '0.624'), ('p_associate_director_regulatory_affairs', '0.616'), ('p_regulatory_affairs_consultant', '0.615'), ('p_sr_clinical_research_associate', '0.614'), ('p_validation_supervisor', '0.607'), ('p_clinical_research_associate', '0.602')]",c_iroko_pharmaceutical_llc,False,p_manager_regulatory_affairs,"[('p_regulatory_affairs', '0.673'), ('p_regulatory_affairs_manager', '0.622'), ('p_head_regulatory_affairs', '0.617'), ('p_director_regulatory_affairs', '0.616'), ('p_sr_manager_regulatory_affairs', '0.605'), ('p_regulatory_affairs_consultant', '0.597'), ('p_area_business_manager', '0.577'), ('p_regulatory_affairs_specialist', '0.572'), ('p_regional_business_manager', '0.572'), ('p_regulatory_affairs_associate', '0.571')]",c_iroko_pharmaceutical_llc,False,p_senior_regulatory_affairs_associate,False,c_iroko_pharmaceutical_llc,False,p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]"
p_research_assistant,False,c_temple_university,"[('c_community_college_of_philadelphia', '0.823'), ('c_drexel_university', '0.819'), ('c_la_salle_university', '0.775'), ('c_delaware_county_community_college', '0.769'), ('c_montgomery_county_community_college', '0.765'), ('c_saint_josephs_university', '0.751'), ('c_lasalle_university', '0.749'), ('c_bucks_county_community_college', '0.749'), ('c_the_franklin_institute', '0.748'), ('c_university_of_pennsylvania', '0.743')]",p_microbiology_lab_assistant,False,c_mongomery_community_college,False,p_associate_scientist,"[('p_scientist', '0.764'), ('p_scientist_ii', '0.710'), ('p_scientist_i', '0.702'), ('p_sr_scientist', '0.698'), ('p_associate_scientist_i', '0.684'), ('p_associate_scientist_iii', '0.668'), ('p_sr_associate_scientist', '0.665'), ('p_associate_scientist_ii', '0.664'), ('p_principal_scientist', '0.664'), ('p_staff_scientist', '0.650')]",c_glaxosmith_kline,"[('c_smithkline_beecham', '0.611'), ('c_glaxo_smith_kline', '0.596'), ('c_merck_scheringplough', '0.587'), ('c_glaxosmithkline_biopharmaceuticals', '0.583'), ('c_glaxo', '0.577'), ('c_bristol_myers_squibb', '0.575'), ('c_glaxosmithkline_oncology', '0.571'), ('c_smithklinebeecham', '0.568'), ('c_smithkline_beecham_pharmaceuticals', '0.560'), ('c_rhonepoulenc_rorer', '0.557')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]"
p_pathology_resident,"[('p_neuroradiologist', '0.688'), ('p_pediatric_cardiologist', '0.686'), ('p_asst_professor_of_neurology', '0.683'), ('p_neurosurgeon', '0.682'), ('p_professor_of_surgery', '0.676'), ('p_otolaryngology_resident', '0.660'), ('p_resident_physician', '0.659'), ('p_infectious_disease_fellow', '0.659'), ('p_cardiology_fellow', '0.658'), ('p_asst_professor_of_medicine', '0.658')]",c_thomas_jefferson_university_hospital,"[('c_thomas_jefferson_university_hospitals', '0.933'), ('c_hahnemann_university_hospital', '0.915'), ('c_university_of_pennsylvania_health_system', '0.907'), ('c_hospital_of_the_university_of_pennsylvania', '0.902'), ('c_temple_university_hospital', '0.900'), ('c_pennsylvania_hospital', '0.896'), ('c_the_childrens_hospital_of_philadelphia', '0.894'), ('c_penn_medicine', '0.888'), ('c_thomas_jefferson_university', '0.884'), ('c_temple_university_health_system', '0.879')]",p_surgical_pathology_fellow,False,c_md_anderson_cancer_center,"[('c_the_university_of_texas_health_science_center_at_houston', '0.924'), ('c_texas_childrens_hospital', '0.896'), ('c_the_methodist_hospital_system', '0.883'), ('c_baylor_college_of_medicine', '0.881'), ('c_utmb', '0.878'), ('c_ut_md_anderson_cancer_center', '0.873'), ('c_houston_methodist', '0.861'), ('c_the_methodist_hospital', '0.857'), ('c_university_of_texas_md_anderson_cancer_center', '0.855'), ('c_the_university_of_texas_md_anderson_cancer_center', '0.850')]",p_breast_pathology_fellow,False,c_md_anderson_cancer_center,"[('c_the_university_of_texas_health_science_center_at_houston', '0.924'), ('c_texas_childrens_hospital', '0.896'), ('c_the_methodist_hospital_system', '0.883'), ('c_baylor_college_of_medicine', '0.881'), ('c_utmb', '0.878'), ('c_ut_md_anderson_cancer_center', '0.873'), ('c_houston_methodist', '0.861'), ('c_the_methodist_hospital', '0.857'), ('c_university_of_texas_md_anderson_cancer_center', '0.855'), ('c_the_university_of_texas_md_anderson_cancer_center', '0.850')]",p_pathologist,"[('p_orthopaedic_surgeon', '0.745'), ('p_physician', '0.724'), ('p_nephrologist', '0.711'), ('p_radiologist', '0.709'), ('p_hospitalist', '0.707'), ('p_resident', '0.700'), ('p_medical_director', '0.698'), ('p_emergency_medicine_resident', '0.692'), ('p_cardiologist', '0.691'), ('p_pediatrician', '0.691')]",c_great_lakes_pathologists,False,p_pathologist,"[('p_orthopaedic_surgeon', '0.745'), ('p_physician', '0.724'), ('p_nephrologist', '0.711'), ('p_radiologist', '0.709'), ('p_hospitalist', '0.707'), ('p_resident', '0.700'), ('p_medical_director', '0.698'), ('p_emergency_medicine_resident', '0.692'), ('p_cardiologist', '0.691'), ('p_pediatrician', '0.691')]",c_trinity_pathology_associates,False,p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]"
p_senior_associate,False,c_accenture,"[('c_ibm', '0.737'), ('c_deloitte_consulting', '0.705'), ('c_capgemini', '0.680'), ('c_deloitte', '0.675'), ('c_ibm_global_business_services', '0.641'), ('c_accenture_technology_solutions', '0.638'), ('c_ibm_global_services', '0.632'), ('c_pricewaterhousecoopers', '0.626'), ('c_oracle', '0.625'), ('c_ernst_amp_young', '0.615')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]"
p_pharmacy_intern,"[('p_staff_pharmacist', '0.838'), ('p_pharmacy_technician', '0.808'), ('p_pharmacy_manager', '0.796'), ('p_pharmacist', '0.782'), ('p_certified_pharmacy_technician', '0.772'), ('p_pharmacy_supervisor', '0.736'), ('p_pgy_pharmacy_resident', '0.735'), ('p_clinical_pharmacist', '0.734'), ('p_pharmacist_in_charge', '0.732'), ('p_director_of_pharmacy', '0.713')]",c_walgreens,"[('c_cvs_caremark_corporation', '0.783'), ('c_cvs_pharmacy', '0.745'), ('c_walgreens_pharmacy', '0.697'), ('c_sears_holdings_corporation', '0.682'), ('c_kmart_corporation', '0.665'), ('c_walmart', '0.657'), ('c_sams_club', '0.656'), ('c_sears_roebuck_and_co', '0.653'), ('c_osco_drug', '0.648'), ('c_cvspharmacy', '0.644')]",p_adjunct_faculty_pharmacy_practice_pharmacy_administration,False,c_university_of_the_sciences_in_philadelphia,"[('c_university_of_the_sciences', '0.786'), ('c_thomas_jefferson_university', '0.728'), ('c_philadelphia_college_of_pharmacy', '0.723'), ('c_thomas_jefferson_university_hospitals', '0.711'), ('c_fox_chase_cancer_center', '0.705'), ('c_thomas_jefferson_university_hospital', '0.695'), ('c_temple_university_school_of_pharmacy', '0.693'), ('c_drexel_university_college_of_medicine', '0.683'), ('c_penn_medicine', '0.679'), ('c_hahnemann_university_hospital', '0.675')]",p_post_doctoral_regulatory_affairs_and_education_fellow,False,c_mcneil_consumer_healthcare,"[('c_mcneil_consumer_amp_specialty_pharmaceuticals', '0.872'), ('c_johnson_and_johnson', '0.780'), ('c_jampj', '0.760'), ('c_centocor', '0.758'), ('c_wyeth', '0.740'), ('c_merck_amp_co', '0.728'), ('c_wyeth_pharmaceuticals', '0.727'), ('c_johnson_amp_johnson_mcneil_consumer_healthcare', '0.720'), ('c_cephalon', '0.719'), ('c_mcneil_consumer_products', '0.715')]",p_senior_regulatory_affairs_associate,False,c_mcneil_consumer_healthcare,"[('c_mcneil_consumer_amp_specialty_pharmaceuticals', '0.872'), ('c_johnson_and_johnson', '0.780'), ('c_jampj', '0.760'), ('c_centocor', '0.758'), ('c_wyeth', '0.740'), ('c_merck_amp_co', '0.728'), ('c_wyeth_pharmaceuticals', '0.727'), ('c_johnson_amp_johnson_mcneil_consumer_healthcare', '0.720'), ('c_cephalon', '0.719'), ('c_mcneil_consumer_products', '0.715')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]",p_nan,False,c_nan,"[('c_hawaiian_dredging_construction_company', '0.551'), ('c_watts_constructors', '0.534'), ('c_honolulu_builders', '0.518'), ('c_jhkellyllc', '0.511'), ('c_triton_marine_construction', '0.506'), ('c_cobblestone_construction', '0.497'), ('c_mj_dean_construction', '0.494'), ('c_union_carpenter', '0.493'), ('c_electricians', '0.485'), ('c_ideal_construction', '0.483')]"
